finding_id,date_logged_iso,cumulative_findings
OBS-001,2026-07-14T18:29:59+03:00,1
OBS-002,2026-07-14T18:29:59+03:00,2
OBS-003,2026-07-14T18:29:59+03:00,3
OBS-004,2026-07-14T18:29:59+03:00,4
OBS-005,2026-07-14T18:29:59+03:00,5
OBS-006,2026-07-14T18:46:55+03:00,6
OBS-007,2026-07-15T03:26:49+03:00,7
OBS-008,2026-07-15T04:14:01+03:00,8
OBS-009,2026-07-15T04:14:01+03:00,9
OBS-010,2026-07-15T04:23:12+03:00,10
OBS-011,2026-07-16T16:36:28+03:00,11
OBS-012,2026-07-16T22:10:17+03:00,12
OBS-013,2026-07-16T22:10:17+03:00,13
OBS-014,2026-08-06T00:08:37+03:00,14
OBS-015,2026-08-06T18:22:01+03:00,15
OBS-016,2026-08-06T19:09:28+03:00,16
OBS-017,2026-08-06T20:05:30+03:00,17
OBS-018,2026-08-06T20:05:30+03:00,18
OBS-019,2026-08-06T20:38:14+03:00,19
OBS-020,2026-08-06T23:15:51+03:00,20
OBS-021,2026-08-06T23:15:51+03:00,21
OBS-022,2026-08-07T02:38:33+03:00,22
OBS-023,2026-08-07T04:02:02+03:00,23
OBS-024,2026-08-07T04:17:21+03:00,24
OBS-025,2026-08-11T21:29:10+03:00,25
OBS-026,2026-08-12T19:25:08+03:00,26
OBS-027,2026-08-13T01:06:26+03:00,27
OBS-028,2026-08-15T02:20:46+03:00,28
OBS-029,2026-08-15T04:46:12+03:00,29
OBS-030,2026-08-15T16:34:15+03:00,30
OBS-031,2026-08-15T18:01:58+03:00,31
OBS-032,2026-08-15T18:05:30+03:00,32
OBS-033,2026-08-16T02:11:14+03:00,33
OBS-034,2026-08-16T02:11:14+03:00,34
OBS-035,2026-08-16T03:08:54+03:00,35
OBS-036,2026-08-16T03:08:54+03:00,36
OBS-037,2026-08-16T03:08:54+03:00,37
OBS-038,2026-08-16T09:24:38+03:00,38
OBS-039,2026-08-16T21:48:15+03:00,39
OBS-040,2026-08-17T23:11:46+03:00,40
OBS-041,2026-08-17T23:11:46+03:00,41
OBS-042,2026-08-18T05:30:25+03:00,42
OBS-043,2026-08-18T16:30:13+03:00,43
OBS-044,2026-08-18T16:53:46+03:00,44
OBS-045,2026-08-18T18:58:54+03:00,45
OBS-046,2026-08-19T06:13:08+03:00,46
OBS-047,2026-08-20T21:20:47+03:00,47
OBS-049,2026-09-03T04:03:55+03:00,48
OBS-050,2026-09-03T15:23:28+03:00,49
OBS-051,2026-09-03T15:39:02+03:00,50
OBS-052,2026-09-03T18:46:11+03:00,51
OBS-053,2026-09-03T18:57:04+03:00,52
OBS-054,2026-09-04T14:47:30+03:00,53
OBS-055,2026-09-04T18:36:23+03:00,54
OBS-056,2026-09-05T10:47:38+03:00,55
OBS-057,2026-09-06T17:23:51+03:00,56
OBS-058,2026-09-07T20:40:36+03:00,57
OBS-059,2026-09-07T20:40:36+03:00,58
OBS-060,2026-09-07T20:40:36+03:00,59
OBS-061,2026-09-07T20:40:36+03:00,60
OBS-062,2026-09-10T15:26:18+03:00,61
